prix,surface,prix_m2,nb_pieces,type,quartier,ville
380000.0,290.0,,4.0,Maison,Toulon Ouest/ Les 4 Chemins Des Routes Idéalement Située Au Cœur Très Recherché Des 4 Chemins Des Routes,Toulon
684000.0,4.0,5029.0,5.0,Maison,,Toulon
164000.0,71.0,,4.0,Appartement,Appartement T4 - Valbertrand Situé Dans Une Résidence Fermée Et Sécurisée,Toulon
315000.0,5.0,,5.0,Appartement,Exclusivite - A Toulon,Toulon
475000.0,5.0,,5.0,Maison,Au Cœur Du Très Recherché Secteur Du Pont De Suve À Toulon,Toulon
265000.0,88.0,,4.0,Appartement,A Vendre À Toulon Dans Une Résidence De Standing Bien Entretenue,Toulon
250000.0,65.0,,3.0,Appartement,A Vendre À Toulon Secteur Chalucet Dans Une Résidence Avec Parking Collectif,Toulon
2835000.0,471.0,16775.0,7.0,Maison,À Vendre – Toulon Cap Brun,Toulon
151000.0,26.0,5715.0,1.0,Appartement,Exclusif A Toulon. Devenez Propriétaires D’Un Lieu De Vie Unique À Toulon. 18 Logements De Standing,Toulon
120000.0,45.0,,2.0,Appartement,La Roseraie,Toulon
295000.0,55.0,5283.0,3.0,Appartement,Exclusif A Toulon. Devenez Propriétaires D’Un Lieu De Vie Unique À Toulon. 18 Logements De Standing,Toulon
117000.0,3.0,,3.0,Appartement,A Vendre À Toulon Entre Claret Et Saint-Anne,Toulon
555000.0,81.0,6829.0,4.0,Appartement,Exclusif A Toulon. Devenez Propriétaires D’Un Lieu De Vie Unique À Toulon. 18 Logements De Standing,Toulon
596000.0,283.0,,7.0,Maison,L’Agence Canat & Warton Vous Présente Cette Jolie Maison De Maître,Toulon
155000.0,3.0,,3.0,Appartement,Toulon Saint-Roch Appartement De Type 3 D'Environ 66 M² Situé Au 2Ème Étage Avec Ascenseur D'Un Petit Immeuble Bien Tenu. Comprenant Une Entrée,Toulon
154000.0,17.0,,17.0,Appartement,Sans Honoraires. Direct Propriétaire ! A Toulon,Toulon
599000.0,91.0,6582.0,4.0,Appartement,L'Agence Canat & Warton A Le Plaisir De Vous Proposer Cet Appartement En Front De Mer,Toulon
1100000.0,11.0,5116.0,11.0,Maison,Toulon La Serinette Nichée Dans Un Écrin De Verdure,Toulon
149000.0,6.0,,3.0,Appartement,Place D'Armes,Toulon
259000.0,72.0,,4.0,Appartement,Le Faron-Fort-Rouge,Toulon
400000.0,510.0,,5.0,Maison,Ref 3068 - Toulon Ouest - Maison/Villa T5 De 90M² - Terrain De 510M² - Garage L'Agence Immobilière G.I.O.,Toulon
165000.0,37.0,,2.0,Appartement,Toulon - Dans Le Célèbre Quartier Du Mourillon,Toulon
99000.0,41.0,,2.0,Appartement,À Vendre À Toulon,Toulon
266000.0,70.0,,5.0,Appartement,Saint Jean Du Var,Toulon
219000.0,60.0,,3.0,Appartement,Cap Brun,Toulon
328000.0,4.0,,4.0,Maison,Exclusivite - A Toulon,Toulon
259000.0,70.0,,3.0,Appartement,,Toulon
139000.0,2.0,,2.0,Appartement,À Toulon,Toulon
499000.0,180.0,,9.0,Maison,Maison Familiale De 180 M² Avec Jardin,Toulon
750000.0,5.0,5556.0,5.0,Maison,Exclusivite - A Toulon,Toulon
825000.0,160.0,5139.0,6.0,Maison,Toulon Ouest Les 4 Chemins Des Routes: Au Calme Absolu,Toulon
130000.0,2.0,,2.0,Appartement,Toulon Ouest Escaillon Beau T2 En Duplex,Toulon
115000.0,50.0,,2.0,Appartement,Toulon Pont Du Las Beaucoup De Charme Pour Cet Appartement De Type Deux Situé Au 2Ème Étage. Très Lumineux Et Entièrement Rénové. A Proximité Des Commerces,Toulon
