prix,surface,prix_m2,nb_pieces,type,quartier,ville
615000.0,67.0,9179.0,3.0,Appartement,Situé Dans L'Un Des Quartiers Les Plus Prisés De Toulon,Toulon
2495000.0,373.0,6689.0,10.0,Maison,Demeure D’Exception Face Aux Plages Du Mourillon - Située Dans L’Un Des Quartiers Les Plus Prisés De Toulon,Toulon
490000.0,5.0,,5.0,Maison,,Toulon
159000.0,65.0,,3.0,Appartement,Exclusivité Anna Pons Capifrance,Toulon
258000.0,80.0,,3.0,Appartement,Les Ameniers,Toulon
102800.0,40.0,,2.0,Appartement,En Exclusivité Toulon-Est : Rez-De-Chaussée Aux Beaux Volumes,Toulon
315000.0,105.0,,4.0,Appartement,Exclusivité – Toulon La Serinette Appartement Traversant De 105 M²,Toulon
103200.0,52.0,,3.0,Appartement,Saint Jean Du Var,Toulon
1680000.0,700.0,6000.0,7.0,Maison,Nichée Dans Le Prestigieux Quartier Du Cap Brun À Toulon,Toulon
223000.0,4.0,,4.0,Appartement,Toulon Proche Centre Ville Et Gare,Toulon
1260000.0,166.0,7590.0,7.0,Maison,,Toulon
128900.0,2.0,,3.0,Appartement,Toulon Saint Roch - Situé Au 2Ème Et Dernier Étage D'Un Petit Immeuble De Ville,Toulon
244100.0,39.0,6259.0,2.0,Appartement,Pont De Suve-Collet De Gipon,Toulon
239308.0,39.0,6136.0,2.0,Appartement,Pont De Suve-Collet De Gipon,Toulon
234358.0,40.0,5859.0,2.0,Appartement,Pont De Suve-Collet De Gipon,Toulon
223877.0,36.0,6219.0,2.0,Appartement,Pont De Suve-Collet De Gipon,Toulon
404988.0,63.0,6428.0,3.0,Appartement,Découvrez Cet Appartement T3 En Dernier Étage Dans Un Environnement Exceptionnel ! Situé Dans L'Un Des Quartiers Les Plus Prisés De Toulon,Toulon
491751.0,65.0,7565.0,3.0,Appartement,Cap Brun,Toulon
210000.0,3.0,,3.0,Appartement,Super-Toulon,Toulon
