id_mutation,date_mutation,nature_mutation,valeur_fonciere,code_postal,nom_commune,type_local,surface_reelle_bati,nombre_pieces_principales,surface_terrain,longitude,latitude,prix_au_m2
2024-1021198,04/12/2024,Vente,252000.0,83000,Toulon,Maison,200.0,6,325.0,5.93736,43.109437,1260.0
2024-1021045,04/12/2024,Vente,301800.0,83000,Toulon,Appartement,108.0,4,,5.928994,43.126417,2794.44
2024-1009019,05/01/2024,Vente,70000.0,83200,Toulon,Appartement,40.0,2,,5.899152,43.128254,1750.0
2024-1009023,05/01/2024,Vente,75000.0,83200,Toulon,Appartement,40.0,2,,5.899152,43.128254,1875.0
2024-1009006,05/01/2024,Vente,95000.0,83000,Toulon,Appartement,64.0,3,,5.93526,43.120958,1484.38
2024-1009367,05/01/2024,Vente,108000.0,83000,Toulon,Appartement,23.0,1,,5.938215,43.107575,4695.65
2024-1009299,05/01/2024,Vente,113000.0,83000,Toulon,Appartement,49.0,2,,5.935894,43.1157,2306.12
2024-1009160,05/01/2024,Vente,120000.0,83200,Toulon,Appartement,70.0,4,,5.921705,43.136409,1714.29
2024-1009111,05/01/2024,Vente,150000.0,83200,Toulon,Appartement,80.0,5,,5.916868,43.127669,1875.0
2024-1009513,05/01/2024,Vente,175750.0,83200,Toulon,Appartement,64.0,3,,5.902313,43.131636,2746.09
2024-1009235,05/01/2024,Vente,250000.0,83200,Toulon,Maison,70.0,4,455.0,5.922488,43.158137,3571.43
2024-1008983,05/01/2024,Vente,266500.0,83000,Toulon,Appartement,80.0,3,,5.931017,43.121233,3331.25
2024-1010335,05/02/2024,Vente,37000.0,83000,Toulon,Appartement,16.0,1,,5.943507,43.12389,2312.5
2024-1010509,05/02/2024,Vente,62000.0,83100,Toulon,Appartement,23.0,1,,5.97959,43.133322,2695.65
