"Cat_energie","prix_du_bien","prix_m2","type_de_bien","nb_pièce","nb_chambre","superficie","quartier","css-0 3"
"C","369 000 €","4 731 €/m²","Appartement à vendre","3 pièces","2 chambres","78 m²","La Serinette, Toulon (83000)",""
"D","810 000 €","5 400 €/m²","Maison à vendre","7 pièces","4 chambres","150 m²","Trois Quartiers-Siblas, Toulon (83000)",""
"C","318 000 €","3 164 €/m²","Appartement à vendre","5 pièces","4 chambres","100,5 m²","Mourillon-Centre, Toulon (83000)",""
"A","211 000 €","3 403 €/m²","Appartement à vendre","3 pièces","2 chambres","62 m²","Toulon (83000)",""
"B","880 000 €","7 333 €/m²","Appartement à vendre","5 pièces","3 chambres","120 m²","Mourillon-Centre, Toulon (83000)",""
"D","242 000 €","4 703 €/m²","Appartement à vendre","2 pièces","1 chambre","51,5 m²","Cap Brun , Toulon (83000)",""
"","646 000 €","7 178 €/m²","Maison à vendre - neuf","4 pièces","3 chambres","90 m²","Cap Brun , Toulon (83000)",""
"C","117 000 €","2 089 €/m²","Appartement à vendre","3 pièces","2 chambres","56 m²","Toulon (83000)",""
"","213 000 €","4 770 €/m²","Appartement à vendre - neuf","2 pièces","1 chambre","44,7 m²","Pont de Suve-Collet de Gipon, Toulon (83100)",""
"","178 031 €","4 180 €/m²","Appartement à vendre - neuf","2 pièces","42,6 m²","1er étage","Valbertrand, Toulon (83200)",""
"B","1 090 000 €","5 142 €/m²","Appartement à vendre","5 pièces","3 chambres","212 m²","Toulon (83000)",""
"D","1 490 000 €","9 739 €/m²","Appartement à vendre","5 pièces","3 chambres","153 m²","Toulon (83000)",""
"D","1 100 000 €","9 565 €/m²","Appartement à vendre","3 pièces","2 chambres","115 m²","Cap Brun , Toulon (83000)",""
"C","225 000 €","3 462 €/m²","Appartement à vendre","3 pièces","2 chambres","65 m²","Le Jonquet, Toulon (83200)",""
"D","229 000 €","2 793 €/m²","Appartement à vendre","3 pièces","2 chambres","82 m²","Toulon (83000)",""
"","254 519 €","4 232 €/m²","Appartement à vendre - neuf","3 pièces","60,1 m²","2ème étage","Valbertrand, Toulon (83200)",""
"C","160 000 €","4 848 €/m²","Appartement à vendre","2 pièces","1 chambre","33 m²","Mourillon-Sud, Toulon (83000)",""
"C","2 484 000 €","15 055 €/m²","Maison à vendre","6 pièces","3 chambres","165 m²","Cap Brun , Toulon (83000)","Nouveau"
"D","880 000 €","5 605 €/m²","Villa à vendre","6 pièces","4 chambres","157 m²","Toulon (83200)",""
"C","473 000 €","5 565 €/m²","Maison à vendre","4 pièces","2 chambres","85 m²","Toulon (83000)",""
"G","1 598 000 €","6 658 €/m²","Villa à vendre","7 pièces","5 chambres","240 m²","Claret, Toulon (83200)",""
"","334 963 €","4 110 €/m²","Appartement à vendre - neuf","4 pièces","81,5 m²","3ème étage","Valbertrand, Toulon (83200)",""
"D","95 000 €","3 519 €/m²","Appartement à vendre","1 pièce","27 m²","1er étage","Toulon (83000)",""
"C","725 000 €","5 370 €/m²","Villa à vendre","5 pièces","3 chambres","135 m²","Toulon (83200)",""
"C","230 000 €","4 508 €/m²","Appartement à vendre","2 pièces","1 chambre","51 m²","Mourillon-Centre, Toulon (83000)",""
"E","770 000 €","5 133 €/m²","Maison à vendre","6 pièces","4 chambres","150 m²","Le Faron-Fort-Rouge, Toulon (83000)",""
"D","259 000 €","2 643 €/m²","Appartement à vendre","4 pièces","2 chambres","98 m²","Champ de Mars, Toulon (83000)",""
"C","370 000 €","4 302 €/m²","Appartement à vendre","3 pièces","2 chambres","86 m²","Toulon (83000)",""
"E","226 000 €","3 531 €/m²","Appartement à vendre","4 pièces","2 chambres","64 m²","Notre Dame des Routes, Toulon (83200)",""
"A","425 000 €","5 120 €/m²","Villa à vendre","4 pièces","3 chambres","83 m²","Valbertrand, Toulon (83200)",""
"","314 000 €","3 494 €/m²","Villa à vendre - neuf","4 pièces","3 chambres","89,9 m²","Pont de Suve-Collet de Gipon, Toulon (83100)",""
"E","206 700 €","3 180 €/m²","Appartement à vendre","3 pièces","2 chambres","65 m²","Toulon (83000)",""
"","356 000 €","4 212 €/m²","Appartement à vendre - neuf","4 pièces","3 chambres","84,5 m²","Pont de Suve-Collet de Gipon, Toulon (83100)",""
"D","185 000 €","2 761 €/m²","Appartement à vendre","4 pièces","2 chambres","67 m²","Toulon (83200)",""
"D","254 000 €","3 629 €/m²","Appartement à vendre","4 pièces","2 chambres","70 m²","La Serinette, Toulon (83000)",""
"","499 000 €","3 992 €/m²","Villa à vendre","4 pièces","3 chambres","125 m²","Dardenne Hubac-Les Favières, Toulon (83200)",""
"","369 000 €","6 483 €/m²","Appartement à vendre","3 pièces","1 chambre","56,9 m²","Mourillon-Centre, Toulon (83000)",""
"C","589 000 €","4 020 €/m²","Villa à vendre","5 pièces","4 chambres","146,5 m²","Toulon (83200)",""
"D","420 000 €","5 250 €/m²","Appartement à vendre","4 pièces","2 chambres","80 m²","Toulon (83000)",""
"D","180 000 €","2 169 €/m²","Appartement à vendre","4 pièces","3 chambres","83 m²","Saint Roch, Toulon (83200)",""
"B","970 000 €","6 831 €/m²","Maison de plain-pied à vendre","5 pièces","3 chambres","142 m²","Cap Brun , Toulon (83000)",""
"E","170 000 €","2 833 €/m²","Appartement à vendre","3 pièces","2 chambres","60 m²","Champ de Mars, Toulon (83000)",""
"D","380 000 €","4 419 €/m²","Villa à vendre","4 pièces","3 chambres","86 m²","Toulon (83200)",""
"D","684 000 €","5 029 €/m²","Villa à vendre","5 pièces","4 chambres","136 m²","Toulon (83200)",""
"C","315 000 €","2 944 €/m²","Appartement à vendre","5 pièces","3 chambres","107 m²","Toulon (83000)",""
"","475 000 €","4 318 €/m²","Maison à vendre","5 pièces","3 chambres","110 m²","Sainte Musse, Toulon (83000)",""
"C","265 000 €","3 011 €/m²","Appartement à vendre","4 pièces","2 chambres","88 m²","Toulon (83000)",""
"D","250 000 €","3 846 €/m²","Appartement à vendre","3 pièces","2 chambres","65 m²","Toulon (83000)",""
"A","2 835 000 €","16 775 €/m²","Villa à vendre - Première occupation","7 pièces","4 chambres","169 m²","Mourillon-Sud, Toulon (83000)",""
"","151 000 €","5 715 €/m²","Appartement à vendre - neuf","1 pièce","26,4 m²","dès le 30/06/2027","Le Faron-Fort-Rouge, Toulon (83200)",""
"","295 000 €","5 283 €/m²","Appartement à vendre - neuf","3 pièces","55,8 m²","dès le 30/06/2027","Le Faron-Fort-Rouge, Toulon (83200)",""
"C","117 000 €","2 089 €/m²","Appartement à vendre","3 pièces","2 chambres","56 m²","Toulon (83000)",""
"","555 000 €","6 829 €/m²","Appartement à vendre - neuf","4 pièces","81,3 m²","dès le 30/06/2027","Le Faron-Fort-Rouge, Toulon (83200)",""
"E","596 000 €","4 222 €/m²","Maison à vendre","7 pièces","5 chambres","141,2 m²","Le Faron-Fort-Rouge, Toulon (83100)",""
"D","125 000 €","5 682 €/m²","Appartement à vendre","2 pièces","1 chambre","22 m²","La Palasse, Toulon (83100)",""
"B","154 000 €","2 299 €/m²","Appartement à vendre","3 pièces","2 chambres","67 m²","Champ de Mars, Toulon (83000)",""
"E","599 000 €","6 582 €/m²","Appartement à vendre","4 pièces","3 chambres","91 m²","Mourillon-Sud, Toulon (83000)",""
"D","187 000 €","2 527 €/m²","Appartement à vendre","4 pièces","3 chambres","74 m²","Brunet, Toulon (83100)",""
"D","155 000 €","2 411 €/m²","Appartement à vendre","3 pièces","2 chambres","64,3 m²","Toulon (83000)",""
"D","1 100 000 €","5 116 €/m²","Villa à vendre","11 pièces","7 chambres","215 m²","La Serinette, Toulon (83000)",""
"C","128 000 €","3 879 €/m²","Appartement à vendre","2 pièces","1 chambre","33 m²","La Serinette, Toulon (83000)",""
"G","149 000 €","2 443 €/m²","Appartement à vendre","3 pièces","1 chambre","61 m²","Place d'Armes, Toulon (83000)",""
"D","259 000 €","3 597 €/m²","Appartement à vendre","4 pièces","2 chambres","72 m²","Le Faron-Fort-Rouge, Toulon (83200)",""
"E","400 000 €","4 444 €/m²","Maison de plain-pied à vendre","5 pièces","3 chambres","90 m²","Les Moulins, Toulon (83200)",""
"B","165 000 €","4 459 €/m²","Appartement à vendre","2 pièces","1 chambre","37 m²","Mourillon-Centre, Toulon (83000)",""
"C","99 000 €","2 415 €/m²","Appartement à vendre","2 pièces","1 chambre","41 m²","Toulon (83000)",""
"C","219 000 €","3 650 €/m²","Appartement à vendre","3 pièces","2 chambres","60 m²","Cap Brun , Toulon (83000)",""
"B","219 000 €","3 650 €/m²","Appartement à vendre","3 pièces","2 chambres","60 m²","Toulon (83000)",""
"C","328 000 €","4 260 €/m²","Maison à vendre","4 pièces","3 chambres","77 m²","Toulon (83100)",""
"D","259 000 €","3 700 €/m²","Appartement à vendre","3 pièces","2 chambres","70 m²","Toulon (83200)",""
"C","139 000 €","3 787 €/m²","Appartement à vendre","2 pièces","1 chambre","36,7 m²","Toulon (83000)",""
"E","125 000 €","2 232 €/m²","Appartement à vendre","3 pièces","2 chambres","56 m²","Temple, Toulon (83200)",""
"D","499 000 €","2 772 €/m²","Maison à vendre","9 pièces","7 chambres","180 m²","Toulon (83000)",""
"C","750 000 €","5 556 €/m²","Maison à vendre","5 pièces","3 chambres","135 m²","Toulon (83000)",""
"B","825 000 €","5 139 €/m²","Villa à vendre","6 pièces","4 chambres","160,6 m²","Toulon (83200)",""
"C","130 000 €","3 067 €/m²","Duplex à vendre","2 pièces","1 chambre","42,4 m²","Toulon (83200)",""
"D","115 000 €","2 264 €/m²","Appartement à vendre","2 pièces","1 chambre","50,8 m²","Toulon (83200)",""
"D","117 000 €","1 918 €/m²","Appartement à vendre","3 pièces","2 chambres","61 m²","Toulon (83000)",""
"E","200 000 €","3 226 €/m²","Appartement à vendre","3 pièces","1 chambre","62 m²","Cap Brun , Toulon (83000)",""
"E","Bouquet 755 250 €","","Appartement en viager · occupé","3 pièces","2 chambres","138 m²","Cap Brun , Toulon (83000)","Nouveau"
"D","135 000 €","3 214 €/m²","Appartement à vendre","2 pièces","1 chambre","42 m²","Toulon (83000)",""
"C","665 000 €","4 683 €/m²","Maison à vendre","5 pièces","4 chambres","142 m²","Cap Brun , Toulon (83000)",""
"B","345 000 €","3 053 €/m²","Appartement à vendre","5 pièces","4 chambres","113 m²","Champ de Mars, Toulon (83000)",""
"C","270 000 €","3 176 €/m²","Appartement à vendre","4 pièces","3 chambres","85 m²","Toulon (83000)","Nouveau"
"D","91 000 €","3 033 €/m²","Appartement à vendre","1 pièce","30 m²","2ème étage","Toulon (83200)",""
"A","160 000 €","4 571 €/m²","Appartement à vendre","2 pièces","1 chambre","35 m²","Toulon (83100)","Nouveau"
"C","315 000 €","3 150 €/m²","Appartement à vendre","5 pièces","4 chambres","100 m²","Toulon (83000)",""
"F","194 000 €","2 694 €/m²","Maison à vendre","4 pièces","3 chambres","72 m²","Toulon (83100)","Nouveau"
"E","129 000 €","2 745 €/m²","Appartement à vendre","2 pièces","1 chambre","47 m²","Super-Toulon, Toulon (83000)",""
"B","597 000 €","2 985 €/m²","Maison à vendre","6 pièces","5 chambres","200 m²","Le Revest-les-Eaux (83200)",""
"","434 000 €","6 113 €/m²","Appartement à vendre - neuf","3 pièces","2 chambres","71 m²","La Palasse, Toulon (83100)",""
"F","220 000 €","3 056 €/m²","Maison à vendre","4 pièces","3 chambres","72 m²","Toulon (83100)","Nouveau"
"","180 000 €","3 273 €/m²","Appartement à vendre","3 pièces","1 chambre","55 m²","Les Moulins, Toulon (83200)",""
"D","1 090 000 €","5 070 €/m²","Maison à vendre","6 pièces","4 chambres","215 m²","Toulon (83200)",""
"C","345 000 €","2 255 €/m²","Appartement à vendre","6 pièces","4 chambres","153 m²","Super-Toulon, Toulon (83000)",""
"D","207 500 €","2 904 €/m²","Appartement à vendre","4 pièces","3 chambres","71,5 m²","Toulon (83000)","Nouveau"
"E","270 000 €","2 842 €/m²","Appartement à vendre","4 pièces","2 chambres","95 m²","Toulon (83100)",""
"D","175 000 €","2 652 €/m²","Appartement à vendre","3 pièces","2 chambres","66 m²","Saint Roch, Toulon (83000)",""
"D","92 000 €","2 026 €/m²","Appartement à vendre","3 pièces","2 chambres","45,4 m²","Toulon (83100)",""
"","410 000 €","5 857 €/m²","Appartement à vendre - neuf","3 pièces","2 chambres","70 m²","La Palasse, Toulon (83100)",""
"C","267 000 €","3 708 €/m²","Appartement à vendre","5 pièces","4 chambres","72 m²","Toulon (83000)",""
"C","550 000 €","3 643 €/m²","Appartement à vendre","5 pièces","4 chambres","151 m²","Toulon (83000)",""
"B","184 000 €","2 217 €/m²","Appartement à vendre","4 pièces","2 chambres","83 m²","Toulon (83100)",""
"D","880 000 €","5 605 €/m²","Villa à vendre","6 pièces","4 chambres","157 m²","Toulon (83200)",""
"","198 000 €","3 536 €/m²","Appartement à vendre","3 pièces","2 chambres","56 m²","Toulon (83100)","Nouveau"
"D","269 000 €","2 874 €/m²","Appartement à vendre","5 pièces","3 chambres","93,6 m²","Toulon (83200)",""
"D","Bouquet 220 000 €","et 800 €/mois","Maison en viager · occupé","4 pièces","2 chambres","131 m²","Le Faron-Fort-Rouge, Toulon (83000)",""
"D","Bouquet 213 805 €","","Maison en viager","4 pièces","2 chambres","107 m²","Toulon (83200)",""
"D","295 000 €","3 440 €/m²","Appartement à vendre","3 pièces","2 chambres","85,8 m²","Toulon (83000)",""
"C","300 000 €","3 480 €/m²","Appartement à vendre","3 pièces","2 chambres","86,2 m²","Toulon (83000)",""
"C","300 000 €","3 480 €/m²","Appartement à vendre","3 pièces","2 chambres","86,2 m²","Toulon (83000)",""
"C","250 000 €","3 509 €/m²","Appartement à vendre","2 pièces","1 chambre","71,3 m²","Toulon (83000)",""
"D","280 000 €","4 174 €/m²","Appartement à vendre","3 pièces","2 chambres","67,1 m²","Toulon (83000)",""
"","169 000 €","4 225 €/m²","Appartement à vendre","2 pièces","1 chambre","40 m²","Toulon (83000)","Nouveau"
"D","299 000 €","4 153 €/m²","Appartement à vendre","3 pièces","2 chambres","72 m²","Toulon (83000)",""
