"Cat_energie","prix_du_bien","prix_m2","type_de_bien","nb_pièce","nb_chambre","superficie","quartier","css-0 3"
"C","130 600 €","1 979 €/m²","Appartement à vendre","4 pièces","3 chambres","66 m²","Toulon (83000)",""
"","289 000 €","7 049 €/m²","Appartement à vendre - neuf","2 pièces","41 m²","RDC","Cap Brun , Toulon (83100)",""
"","443 000 €","7 145 €/m²","Appartement à vendre - neuf","3 pièces","62 m²","1er étage","Cap Brun , Toulon (83100)",""
"","466 000 €","6 955 €/m²","Appartement à vendre - neuf","3 pièces","67 m²","RDC","Cap Brun , Toulon (83100)",""
"","584 000 €","7 584 €/m²","Appartement à vendre - neuf","3 pièces","77 m²","1er étage","Cap Brun , Toulon (83100)",""
"","460 000 €","7 419 €/m²","Appartement à vendre - neuf","3 pièces","62 m²","1er étage","Cap Brun , Toulon (83100)",""
"","423 000 €","6 714 €/m²","Appartement à vendre - neuf","3 pièces","63 m²","1er étage","Cap Brun , Toulon (83100)",""
"D","164 000 €","3 417 €/m²","Appartement à vendre","2 pièces","1 chambre","48 m²","Place d'Armes, Toulon (83000)","Nouveau"
"B","213 000 €","4 733 €/m²","Appartement à vendre - neuf","2 pièces","1 chambre","45 m²","Toulon (83000)","Nouveau"
"B","236 000 €","5 130 €/m²","Appartement à vendre - neuf","2 pièces","1 chambre","46 m²","Toulon (83000)","Nouveau"
"D","169 600 €","2 780 €/m²","Appartement à vendre","3 pièces","2 chambres","61 m²","Saint Jean du Var, Toulon (83100)",""
"D","1 190 000 €","4 958 €/m²","Maison à vendre","6 pièces","3 chambres","240 m²","Cap Brun , Toulon (83000)",""
"C","725 000 €","4 647 €/m²","Maison à vendre","6 pièces","4 chambres","156 m²","Valbertrand, Toulon (83000)",""
"B","254 000 €","4 233 €/m²","Appartement à vendre - neuf","3 pièces","2 chambres","60 m²","Toulon (83000)","Nouveau"
"D","1 090 000 €","5 070 €/m²","Maison à vendre","6 pièces","3 chambres","215 m²","Trois Quartiers-Siblas, Toulon (83200)",""
"C","210 000 €","3 088 €/m²","Appartement à vendre","3 pièces","2 chambres","68 m²","Trois Quartiers-Siblas, Toulon (83100)",""
"D","625 000 €","5 208 €/m²","Maison à vendre","5 pièces","4 chambres","120 m²","Mourillon-Sud, Toulon (83000)",""
"D","190 000 €","2 468 €/m²","Appartement à vendre","3 pièces","2 chambres","77 m²","Valbertrand, Toulon (83200)",""
"C","210 000 €","2 625 €/m²","Maison à vendre","4 pièces","3 chambres","80 m²","Rodeilhac, Toulon (83200)",""
"B","178 000 €","4 140 €/m²","Appartement à vendre - neuf","2 pièces","1 chambre","43 m²","Toulon (83000)","Nouveau"
"B","283 000 €","4 565 €/m²","Appartement à vendre - neuf","3 pièces","2 chambres","62 m²","Toulon (83000)","Nouveau"
"B","199 000 €","4 854 €/m²","Appartement à vendre - neuf","2 pièces","1 chambre","41 m²","Toulon (83000)","Nouveau"
"","1 265 000 €","8 547 €/m²","Appartement à vendre - neuf","4 pièces","148 m²","1er étage","Cap Brun , Toulon (83100)",""
"","1 260 000 €","8 400 €/m²","Appartement à vendre - neuf","4 pièces","150 m²","1er étage","Cap Brun , Toulon (83100)",""
"","990 000 €","8 462 €/m²","Appartement à vendre - neuf","4 pièces","117 m²","1er étage","Cap Brun , Toulon (83100)",""
"C","139 500 €","3 770 €/m²","Appartement à vendre","2 pièces","1 chambre","37 m²","Place d'Armes, Toulon (83000)",""
"A","1 260 000 €","7 590 €/m²","Villa à vendre","7 pièces","3 chambres","166 m²","La Garde (83130)",""
"","584 000 €","7 578 €/m²","Duplex à vendre - neuf","3 pièces","2 chambres","77,1 m²","","Programme Neuf"
"","304 000 €","5 192 €/m²","Appartement à vendre - neuf","3 pièces","2 chambres","58,6 m²","","Programme Neuf"
"","360 000 €","5 521 €/m²","Appartement à vendre - neuf","3 pièces","2 chambres","65,2 m²","","Programme Neuf"
"","410 000 €","5 803 €/m²","Appartement à vendre - neuf","3 pièces","2 chambres","70,7 m²","","Programme Neuf"
"","420 000 €","5 757 €/m²","Appartement à vendre - neuf","3 pièces","2 chambres","73 m²","","Programme Neuf"
"","375 000 €","5 597 €/m²","Appartement à vendre - neuf","3 pièces","2 chambres","67 m²","","Programme Neuf"
"","261 000 €","4 350 €/m²","Appartement à vendre - neuf","3 pièces","2 chambres","60 m²","Puget-Théâtre, Toulon (83000)",""
"B","211 000 €","4 689 €/m²","Appartement à vendre - neuf","2 pièces","1 chambre","45 m²","Toulon (83000)","Nouveau"
"B","340 500 €","5 121 €/m²","Appartement à vendre - neuf","3 pièces","2 chambres","66,5 m²","Temple, Toulon (83200)",""
"C","3 900 000 €","14 662 €/m²","Maison à vendre","8 pièces","4 chambres","266 m²","Toulon (83000)","Nouveau"
"B","280 000 €","4 667 €/m²","Appartement à vendre - neuf","3 pièces","2 chambres","60 m²","Toulon (83000)","Nouveau"
"B","276 000 €","4 600 €/m²","Appartement à vendre - neuf","3 pièces","2 chambres","60 m²","Toulon (83000)","Nouveau"
"","612 000 €","6 120 €/m²","Appartement à vendre - neuf","4 pièces","3 chambres","100 m²","Cap Brun , Toulon (83000)","Nouveau"
"B","199 900 €","2 214 €/m²","Appartement à vendre","4 pièces","2 chambres","90,3 m²","Beaulieu-Darboussèdes, Toulon (83100)",""
"B","335 000 €","3 988 €/m²","Appartement à vendre - neuf","4 pièces","3 chambres","84 m²","Toulon (83000)","Nouveau"
"C","161 000 €","2 639 €/m²","Appartement à vendre","3 pièces","2 chambres","61 m²","Champ de Mars, Toulon (83000)",""
"C","256 250 €","3 742 €/m²","Appartement à vendre","3 pièces","2 chambres","68,5 m²","Cap Brun , Toulon (83000)",""
"","266 000 €","3 786 €/m²","Appartement à vendre - neuf","3 pièces","70,3 m²","2ème étage","Saint Jean du Var, Toulon (83100)",""
"C","295 000 €","5 566 €/m²","Appartement à vendre","2 pièces","1 chambre","53 m²","Cap Brun , Toulon (83000)","Nouveau"
"","460 000 €","7 304 €/m²","Appartement à vendre - neuf","3 pièces","2 chambres","63 m²","","Programme Neuf"
"","290 000 €","4 940 €/m²","Appartement à vendre - neuf","3 pièces","2 chambres","58,7 m²","","Programme Neuf"
"","434 000 €","6 078 €/m²","Appartement à vendre - neuf","3 pièces","2 chambres","71,4 m²","","Programme Neuf"
"","289 000 €","4 944 €/m²","Appartement à vendre - neuf","3 pièces","2 chambres","58,5 m²","","Programme Neuf"
"","459 000 €","6 424 €/m²","Duplex à vendre - neuf","4 pièces","3 chambres","71,5 m²","","Programme Neuf"
"D","198 000 €","3 094 €/m²","Appartement à vendre","3 pièces","2 chambres","64 m²","Temple, Toulon (83200)","Nouveau"
"A","498 000 €","6 523 €/m²","Appartement à vendre","4 pièces","2 chambres","76,4 m²","Toulon (83100)",""
"E","272 000 €","2 925 €/m²","Appartement à vendre","4 pièces","2 chambres","93 m²","La Serinette, Toulon (83000)",""
"B","229 000 €","3 470 €/m²","Appartement à vendre - neuf","3 pièces","2 chambres","66 m²","Toulon (83000)","Nouveau"
"B","335 000 €","4 085 €/m²","Appartement à vendre - neuf","4 pièces","3 chambres","82 m²","Toulon (83000)","Nouveau"
"E","399 000 €","4 926 €/m²","Appartement à vendre","4 pièces","2 chambres","81 m²","Mourillon-Centre, Toulon (83000)",""
"C","96 000 €","4 000 €/m²","Appartement à vendre","1 pièce","24 m²","Étage 7/7","Saint Jean du Var, Toulon (83100)",""
"A","235 400 €","4 359 €/m²","Appartement à vendre","3 pièces","2 chambres","54 m²","Brunet, Toulon (83100)",""
"C","860 000 €","6 880 €/m²","Maison à vendre","5 pièces","3 chambres","125 m²","Cap Brun , Toulon (83000)",""
"B","250 000 €","4 167 €/m²","Appartement à vendre - neuf","3 pièces","2 chambres","60 m²","Toulon (83000)","Nouveau"
"D","1 095 000 €","5 000 €/m²","Maison à vendre","8 pièces","4 chambres","219 m²","Trois Quartiers-Siblas, Toulon (83000)",""
"","170 119 €","4 362 €/m²","Appartement à vendre - neuf","2 pièces","1 chambre","39 m²","Valbertrand, Toulon (83000)",""
"B","1 090 000 €","5 142 €/m²","Appartement à vendre","5 pièces","3 chambres","212 m²","Le Faron-Fort-Rouge, Toulon (83000)","Nouveau"
"B","275 000 €","4 231 €/m²","Appartement à vendre - neuf","3 pièces","2 chambres","65 m²","Toulon (83000)","Nouveau"
"A","445 000 €","6 846 €/m²","Appartement à vendre - neuf","3 pièces","2 chambres","65 m²","Cap Brun , Toulon (83000)",""
"A","297 000 €","4 869 €/m²","Appartement à vendre - neuf","3 pièces","2 chambres","61 m²","Cap Brun , Toulon (83000)",""
"A","780 000 €","6 446 €/m²","Maison à vendre","4 pièces","3 chambres","121 m²","Notre Dame des Routes, Toulon (83200)",""
"C","369 000 €","3 265 €/m²","Appartement à vendre","3 pièces","2 chambres","113 m²","La Serinette, Toulon (83000)",""
"C","223 230 €","3 185 €/m²","Appartement à vendre","3 pièces","1 chambre","70,1 m²","Toulon (83000)",""
"B","250 000 €","2 941 €/m²","Appartement à vendre","4 pièces","3 chambres","85 m²","Champ de Mars, Toulon (83000)","Nouveau"
"E","123 900 €","2 429 €/m²","Appartement à vendre","3 pièces","1 chambre","51 m²","Le Port, Toulon (83000)",""
"D","665 000 €","5 496 €/m²","Maison à vendre","5 pièces","4 chambres","121 m²","Cap Brun , Toulon (83000)",""
"C","118 500 €","3 118 €/m²","Appartement à vendre","2 pièces","1 chambre","38 m²","Centre Ville, Toulon (83000)",""
"D","278 000 €","3 310 €/m²","Appartement à vendre","4 pièces","2 chambres","84 m²","La Rode, Toulon (83000)","Nouveau"
"E","205 000 €","3 534 €/m²","Appartement à vendre","3 pièces","2 chambres","58 m²","Mourillon-Centre, Toulon (83000)",""
"B","825 000 €","5 139 €/m²","Villa à vendre","6 pièces","4 chambres","160,6 m²","Toulon (83200)",""
"C","149 000 €","2 980 €/m²","Appartement à vendre","2 pièces","1 chambre","50 m²","Cathedrale, Toulon (83000)",""
"D","169 000 €","2 347 €/m²","Appartement à vendre","3 pièces","2 chambres","72 m²","Champ de Mars, Toulon (83000)",""
"D","225 000 €","3 214 €/m²","Appartement à vendre","3 pièces","2 chambres","70 m²","Super-Toulon, Toulon (83000)",""
"D","178 500 €","2 288 €/m²","Appartement à vendre","3 pièces","2 chambres","78 m²","Saint Roch, Toulon (83000)",""
"","1 265 000 €","8 532 €/m²","Duplex à vendre - neuf","4 pièces","3 chambres","148,3 m²","","Programme Neuf"
"","1 260 000 €","8 347 €/m²","Duplex à vendre - neuf","4 pièces","3 chambres","151 m²","","Programme Neuf"
"A","440 000 €","6 769 €/m²","Appartement à vendre - neuf","3 pièces","2 chambres","65 m²","Cap Brun , Toulon (83000)",""
"A","950 000 €","5 588 €/m²","Maison à vendre","6 pièces","5 chambres","170 m²","Cap Brun , Toulon (83000)",""
"C","90 000 €","2 368 €/m²","Appartement à vendre","2 pièces","1 chambre","38 m²","Champ de Mars, Toulon (83000)",""
"F","295 000 €","4 758 €/m²","Maison à vendre","3 pièces","2 chambres","62 m²","Rodeilhac, Toulon (83200)","Nouveau"
"C","118 580 €","3 124 €/m²","Appartement à vendre","2 pièces","1 chambre","38 m²","Toulon (83000)",""
"C","153 000 €","3 255 €/m²","Appartement à vendre","2 pièces","1 chambre","47 m²","Rodeilhac, Toulon (83200)",""
"B","256 000 €","4 267 €/m²","Appartement à vendre - neuf","3 pièces","2 chambres","60 m²","Toulon (83000)","Nouveau"
"C","130 000 €","3 067 €/m²","Duplex à vendre","2 pièces","1 chambre","42,4 m²","Toulon (83200)",""
"C","308 000 €","4 464 €/m²","Appartement à vendre","3 pièces","2 chambres","69 m²","Champ de Mars, Toulon (83000)",""
"D","172 000 €","3 245 €/m²","Appartement à vendre","3 pièces","2 chambres","53 m²","Toulon (83000)",""
"E","263 750 €","3 387 €/m²","Appartement à vendre","3 pièces","2 chambres","77,9 m²","Toulon (83200)",""
"E","210 000 €","3 500 €/m²","Appartement à vendre","3 pièces","2 chambres","60 m²","Toulon (83200)",""
"B","255 120 €","4 242 €/m²","Appartement à vendre","3 pièces","2 chambres","60,1 m²","Toulon (83100)",""
"A","220 000 €","5 238 €/m²","Appartement à vendre - neuf","2 pièces","1 chambre","42 m²","Cap Brun , Toulon (83000)",""
"E","658 000 €","3 224 €/m²","Maison à vendre","8 pièces","6 chambres","204,1 m²","Toulon (83100)",""
"B","210 000 €","3 231 €/m²","Appartement à vendre","3 pièces","2 chambres","65 m²","Pont-du-Las, Toulon (83200)",""
"C","180 000 €","1 220 €/m²","Appartement à vendre","6 pièces","4 chambres","147,6 m²","Toulon (83000)","Nouveau"
"D","103 200 €","1 985 €/m²","Appartement à vendre","3 pièces","2 chambres","52 m²","Saint Jean du Var, Toulon (83000)",""
"B","2 495 000 €","6 689 €/m²","Maison à vendre","10 pièces","5 chambres","373 m²","Toulon (83000)","Nouveau"
"C","725 000 €","4 647 €/m²","Maison à vendre","6 pièces","4 chambres","156 m²","Valbertrand, Toulon (83000)",""
"","223 877 €","6 219 €/m²","Appartement à vendre - neuf","2 pièces","1 chambre","36 m²","Pont de Suve-Collet de Gipon, Toulon (83000)",""
"C","243 000 €","3 329 €/m²","Appartement à vendre","3 pièces","2 chambres","73 m²","Super-Toulon, Toulon (83000)",""
"D","169 000 €","3 250 €/m²","Appartement à vendre","2 pièces","1 chambre","52 m²","Saint Roch, Toulon (83000)",""
"C","315 000 €","3 000 €/m²","Appartement à vendre","4 pièces","2 chambres","105 m²","La Serinette, Toulon (83000)",""
"B","1 680 000 €","6 000 €/m²","Villa à vendre","7 pièces","5 chambres","280 m²","Cap Brun , Toulon (83000)",""
"F","102 800 €","2 551 €/m²","Appartement à vendre","2 pièces","1 chambre","40,3 m²","Toulon (83000)",""
"A","1 260 000 €","7 590 €/m²","Villa à vendre","7 pièces","3 chambres","166 m²","La Garde (83130)",""
"","404 988 €","6 428 €/m²","Appartement à vendre - neuf","3 pièces","2 chambres","63 m²","Cap Brun , Toulon (83000)",""
"","491 751 €","7 565 €/m²","Appartement à vendre - neuf","3 pièces","2 chambres","65 m²","Cap Brun , Toulon (83000)",""
"D","113 000 €","3 897 €/m²","Appartement à vendre","2 pièces","1 chambre","29 m²","Saint Jean du Var, Toulon (83100)",""
"","233 419 €","5 161 €/m²","Appartement à vendre - neuf","2 pièces","45,2 m²","4ème étage","Valbertrand, Toulon (83200)","Nouveau"
"B","920 000 €","5 576 €/m²","Maison de plain-pied à vendre","6 pièces","5 chambres","165 m²","Pont de Suve-Collet de Gipon, Toulon (83000)",""
"B","209 000 €","3 215 €/m²","Appartement à vendre","3 pièces","2 chambres","65 m²","Pont-du-Las, Toulon (83200)",""
"C","282 000 €","4 623 €/m²","Appartement à vendre","3 pièces","2 chambres","61 m²","Les Routes, Toulon (83200)",""
"D","320 000 €","5 517 €/m²","Appartement à vendre","3 pièces","2 chambres","58 m²","Mourillon-Centre, Toulon (83000)",""
"D","185 000 €","3 083 €/m²","Appartement à vendre","3 pièces","2 chambres","60 m²","Brunet, Toulon (83100)",""
"A","525 000 €","5 833 €/m²","Terrain avec maison neuve à vendre","5 pièces","3 chambres","90 m²","Aguillon, Toulon (83000)",""
"D","265 000 €","3 732 €/m²","Appartement à vendre","3 pièces","2 chambres","71 m²","Port de Plaisance, Toulon (83000)",""
"C","199 000 €","2 679 €/m²","Appartement à vendre","3 pièces","2 chambres","74,3 m²","Toulon (83100)",""
"C","149 000 €","3 041 €/m²","Appartement à vendre","2 pièces","1 chambre","49 m²","Champ de Mars, Toulon (83000)",""
"C","699 000 €","9 100 €/m²","Appartement à vendre","3 pièces","2 chambres","76,8 m²","Toulon (83000)","Nouveau"
"E","179 990 €","2 742 €/m²","Appartement à vendre","3 pièces","2 chambres","65,6 m²","Toulon (83200)",""
"","261 000 €","4 350 €/m²","Appartement à vendre - neuf","3 pièces","2 chambres","60 m²","Puget-Théâtre, Toulon (83000)",""
"C","130 000 €","3 067 €/m²","Duplex à vendre","2 pièces","1 chambre","42,4 m²","Toulon (83200)",""
"","254 518 €","4 465 €/m²","Appartement à vendre - neuf","3 pièces","2 chambres","57 m²","Puget-Théâtre, Toulon (83200)",""
"","315 364 €","3 846 €/m²","Appartement à vendre - neuf","4 pièces","3 chambres","82 m²","Valbertrand, Toulon (83200)",""
"","311 985 €","5 288 €/m²","Appartement à vendre - neuf","3 pièces","2 chambres","59 m²","Pont de Suve-Collet de Gipon, Toulon (83000)",""
"B","170 000 €","4 722 €/m²","Appartement à vendre","2 pièces","1 chambre","36 m²","Brunet, Toulon (83100)",""
"","82 000 €","3 280 €/m²","Studio à vendre","1 pièce","25 m²","Étage 2/6","Port de Plaisance, Toulon (83000)","Nouveau"
"A","779 900 €","6 341 €/m²","Maison à vendre - Première occupation","4 pièces","3 chambres","123 m²","Notre Dame des Routes, Toulon (83200)",""
"D","1 290 000 €","5 864 €/m²","Villa à vendre","7 pièces","5 chambres","220 m²","Mourillon-Centre, Toulon (83000)",""
"B","278 800 €","4 114 €/m²","Appartement à vendre","3 pièces","2 chambres","67,8 m²","Toulon (83000)","Nouveau"
"E","141 760 €","2 743 €/m²","Appartement à vendre","3 pièces","2 chambres","51,7 m²","Toulon (83100)",""
"","178 031 €","4 239 €/m²","Appartement à vendre - neuf","2 pièces","1 chambre","42 m²","Puget-Théâtre, Toulon (83200)",""
"","159 000 €","3 878 €/m²","Appartement à vendre","2 pièces","1 chambre","41 m²","Puget-Théâtre, Toulon (83000)",""
"D","159 000 €","3 472 €/m²","Appartement à vendre","2 pièces","1 chambre","45,8 m²","Champ de Mars, Toulon (83100)",""
"B","299 000 €","5 980 €/m²","Duplex à vendre","2 pièces","1 chambre","50 m²","Pont de Suve-Collet de Gipon, Toulon (83100)",""
"D","115 000 €","2 264 €/m²","Appartement à vendre","2 pièces","1 chambre","50,8 m²","Toulon (83200)",""
"C","355 000 €","5 726 €/m²","Appartement à vendre","3 pièces","2 chambres","62 m²","Mourillon-Centre, Toulon (83000)","Nouveau"
"G","143 000 €","3 024 €/m²","Appartement à vendre","2 pièces","1 chambre","47,3 m²","Toulon (83200)","Nouveau"
"","224 000 €","2 947 €/m²","Appartement à vendre","4 pièces","3 chambres","76 m²","Trois Quartiers-Siblas, Toulon (83000)",""
"","423 000 €","6 609 €/m²","Appartement à vendre - neuf","3 pièces","2 chambres","64 m²","Puget-Théâtre, Toulon (83000)","Nouveau"
"C","147 500 €","3 278 €/m²","Appartement à vendre","2 pièces","1 chambre","45 m²","Champ de Mars, Toulon (83000)",""
"A","230 000 €","3 898 €/m²","Appartement à vendre","3 pièces","2 chambres","59 m²","Place d'Armes, Toulon (83000)",""
"D","172 000 €","4 300 €/m²","Appartement à vendre","2 pièces","1 chambre","40 m²","Toulon (83200)","Nouveau"
"","1 265 000 €","8 547 €/m²","Appartement à vendre - neuf","4 pièces","3 chambres","148 m²","Puget-Théâtre, Toulon (83000)",""
"D","Bouquet 150 000 €","et 2 350 €/mois","Appartement en viager · libre","6 pièces","4 chambres","224 m²","Toulon (83100)","Nouveau"
"C","170 000 €","1 910 €/m²","Appartement à vendre","4 pièces","2 chambres","89 m²","Toulon (83200)",""
"C","153 000 €","2 550 €/m²","Appartement à vendre","2 pièces","1 chambre","60 m²","Puget-Théâtre, Toulon (83200)",""
"B","1 680 000 €","6 000 €/m²","Maison à vendre","8 pièces","5 chambres","280 m²","Cap Brun , Toulon (83000)",""
"C","395 000 €","4 593 €/m²","Appartement à vendre","3 pièces","2 chambres","86 m²","Le Faron-Fort-Rouge, Toulon (83200)",""
"D","162 000 €","2 630 €/m²","Appartement à vendre","2 pièces","1 chambre","61,6 m²","Temple, Toulon (83200)",""
"B","479 000 €","4 990 €/m²","Duplex à vendre","4 pièces","3 chambres","96 m²","Cap Brun , Toulon (83000)",""
"D","220 000 €","2 933 €/m²","Appartement à vendre","3 pièces","2 chambres","75 m²","Toulon (83100)","Nouveau"
"","140 000 €","3 256 €/m²","Appartement à vendre","2 pièces","1 chambre","43 m²","Toulon (83200)","Nouveau"
"D","185 000 €","2 761 €/m²","Appartement à vendre","4 pièces","2 chambres","67 m²","Toulon (83200)",""
"","238 960 €","3 621 €/m²","Appartement à vendre - neuf","3 pièces","2 chambres","66 m²","La Roseraie, Toulon (83100)",""
"E","118 000 €","3 105 €/m²","Appartement à vendre","1 pièce","38 m²","Étage 5/5","Le Port, Toulon (83000)",""
"C","499 000 €","4 455 €/m²","Appartement à vendre","4 pièces","3 chambres","112 m²","Puget-Théâtre, Toulon (83000)",""
"C","749 000 €","5 428 €/m²","Maison à vendre","7 pièces","6 chambres","138 m²","Cap Brun , Toulon (83000)",""
"","95 000 €","3 800 €/m²","Appartement à vendre","1 pièce","25 m²","Étage 1/1","Rodeilhac, Toulon (83200)",""
"","375 000 €","5 597 €/m²","Appartement à vendre","3 pièces","2 chambres","67 m²","Toulon (83100)",""
"C","1 380 000 €","5 750 €/m²","Villa à vendre","8 pièces","5 chambres","240 m²","Cap Brun , Toulon (83000)",""
"E","320 000 €","4 706 €/m²","Appartement à vendre","3 pièces","2 chambres","68 m²","Mourillon-Sud, Toulon (83000)",""
"C","299 500 €","2 995 €/m²","Maison à vendre","4 pièces","2 chambres","100 m²","Toulon (83000)",""
"D","70 600 €","929 €/m²","Appartement en viager","4 pièces","2 chambres","76 m²","Toulon (83000)",""
"C","348 000 €","4 079 €/m²","Maison de plain-pied à vendre","5 pièces","4 chambres","85,3 m²","Toulon (83100)",""
"","584 000 €","7 584 €/m²","Appartement à vendre - neuf","3 pièces","2 chambres","77 m²","Puget-Théâtre, Toulon (83000)",""
"B","167 000 €","3 553 €/m²","Appartement à vendre","2 pièces","1 chambre","47 m²","Puget-Théâtre, Toulon (83000)",""
"C","589 000 €","4 020 €/m²","Villa à vendre","5 pièces","4 chambres","146,5 m²","Toulon (83200)",""
"D","879 000 €","4 883 €/m²","Maison à vendre","6 pièces","5 chambres","180 m²","Toulon (83000)",""
"D","170 000 €","3 148 €/m²","Appartement à vendre","2 pièces","1 chambre","54 m²","Les Routes, Toulon (83200)",""
"B","129 900 €","2 952 €/m²","Appartement à vendre","2 pièces","1 chambre","44 m²","Champ de Mars, Toulon (83000)",""
"A","375 000 €","5 597 €/m²","Appartement à vendre","3 pièces","2 chambres","67 m²","La Palasse, Toulon (83100)",""
"A","289 000 €","4 983 €/m²","Appartement à vendre","3 pièces","2 chambres","58 m²","La Palasse, Toulon (83100)",""
"C","1 870 000 €","12 222 €/m²","Appartement à vendre","5 pièces","3 chambres","153 m²","Cap Brun , Toulon (83000)",""
"D","599 000 €","4 573 €/m²","Maison à vendre","4 pièces","3 chambres","131 m²","Toulon (83000)","Nouveau"
"E","169 900 €","2 929 €/m²","Appartement à vendre","2 pièces","1 chambre","58 m²","Toulon (83000)","Nouveau"
"E","129 000 €","2 719 €/m²","Appartement à vendre","2 pièces","1 chambre","47,4 m²","Toulon (83000)","Nouveau"
"D","80 000 €","2 500 €/m²","Appartement à vendre","2 pièces","1 chambre","32 m²","Rodeilhac, Toulon (83200)",""
"D","221 000 €","3 069 €/m²","Appartement à vendre","4 pièces","3 chambres","72 m²","Les Ameniers, Toulon (83000)",""
"","690 000 €","7 500 €/m²","Villa à vendre - neuf","4 pièces","3 chambres","92 m²","Cap Brun , Toulon (83000)",""
"D","196 100 €","2 621 €/m²","Appartement à vendre","3 pièces","2 chambres","74,8 m²","Toulon (83200)",""
"C","328 000 €","3 969 €/m²","Appartement à vendre","3 pièces","2 chambres","82,7 m²","Puget-Théâtre, Toulon (83000)",""
"D","1 290 000 €","5 864 €/m²","Maison à vendre","9 pièces","5 chambres","220 m²","Mourillon-Centre, Toulon (83000)",""
"D","545 000 €","3 582 €/m²","Maison à vendre","5 pièces","4 chambres","152,2 m²","Toulon (83000)",""
"C","230 000 €","2 706 €/m²","Appartement à vendre","4 pièces","2 chambres","85 m²","Les Routes, Toulon (83200)",""
"E","125 000 €","2 232 €/m²","Appartement à vendre","3 pièces","2 chambres","56 m²","Temple, Toulon (83200)",""
"D","652 000 €","4 318 €/m²","Maison à vendre","8 pièces","4 chambres","151 m²","Toulon (83200)",""
"D","115 000 €","2 130 €/m²","Appartement à vendre","2 pièces","1 chambre","54 m²","Pont-du-Las, Toulon (83200)",""
"D","310 000 €","4 429 €/m²","Maison à vendre","4 pièces","3 chambres","70 m²","Toulon (83000)","Nouveau"
"B","345 000 €","4 408 €/m²","Appartement à vendre","4 pièces","2 chambres","78,3 m²","Toulon (83000)",""
"C","1 050 000 €","6 908 €/m²","Maison à vendre","5 pièces","3 chambres","152 m²","Cap Brun , Toulon (83000)",""
"D","599 000 €","6 305 €/m²","Maison à vendre","4 pièces","3 chambres","95 m²","Toulon (83000)","Nouveau"
"D","500 000 €","3 704 €/m²","Maison à vendre","6 pièces","4 chambres","135 m²","Toulon (83200)","Nouveau"
"","443 000 €","4 713 €/m²","Terrain avec maison neuve à vendre","5 pièces","4 chambres","94 m²","Puget-Théâtre, Toulon (83000)",""
"C","149 000 €","2 811 €/m²","Appartement à vendre","3 pièces","2 chambres","53 m²","Saint Roch, Toulon (83000)",""
"","281 000 €","4 683 €/m²","Appartement à vendre - neuf","3 pièces","2 chambres","60 m²","Puget-Théâtre, Toulon (83000)",""
"C","129 000 €","2 826 €/m²","Appartement à vendre","3 pièces","2 chambres","45,7 m²","Toulon (83000)",""
"D","319 500 €","3 102 €/m²","Appartement à vendre","5 pièces","4 chambres","103 m²","Mourillon-Centre, Toulon (83000)",""
"C","748 000 €","4 336 €/m²","Villa à vendre","5 pièces","4 chambres","172,5 m²","Beaulieu-Darboussèdes, Toulon (83000)",""
"","232 038 €","5 274 €/m²","Appartement à vendre - neuf","2 pièces","44 m²","","La Roseraie, Toulon (83100)",""
"C","360 000 €","4 800 €/m²","Appartement à vendre","3 pièces","2 chambres","75 m²","Toulon (83100)",""
"C","266 000 €","2 812 €/m²","Appartement à vendre","4 pièces","3 chambres","94,6 m²","Place d'Armes, Toulon (83000)",""
"F","530 000 €","3 869 €/m²","Maison à vendre","5 pièces","3 chambres","137 m²","Valbertrand, Toulon (83200)",""
"C","190 000 €","2 585 €/m²","Appartement à vendre","4 pièces","3 chambres","73,5 m²","Toulon (83000)","Nouveau"
"C","305 000 €","2 632 €/m²","Appartement à vendre","5 pièces","3 chambres","115,9 m²","Toulon (83000)",""
"C","250 000 €","4 464 €/m²","Appartement à vendre","3 pièces","1 chambre","56 m²","Toulon (83000)","Nouveau"
"","460 000 €","7 419 €/m²","Appartement à vendre - neuf","3 pièces","2 chambres","62 m²","Cap Brun , Toulon (83000)",""
"","426 000 €","6 762 €/m²","Appartement à vendre - neuf","3 pièces","2 chambres","63 m²","Cap Brun , Toulon (83000)",""
"D","937 900 €","4 666 €/m²","Maison à vendre","8 pièces","7 chambres","201 m²","Trois Quartiers-Siblas, Toulon (83000)",""
"B","187 000 €","4 921 €/m²","Appartement à vendre","2 pièces","1 chambre","38 m²","Toulon (83000)",""
"C","178 000 €","2 373 €/m²","Appartement à vendre","4 pièces","2 chambres","75 m²","Toulon (83000)",""
"","537 066 €","8 263 €/m²","Appartement à vendre - neuf","3 pièces","2 chambres","65 m²","Puget-Théâtre, Toulon (83000)","Nouveau"
"C","157 000 €","3 829 €/m²","Appartement à vendre","2 pièces","1 chambre","41 m²","Aguillon, Toulon (83000)",""
"C","504 000 €","3 231 €/m²","Maison à vendre","6 pièces","4 chambres","156 m²","Saint Roch, Toulon (83200)",""
"D","189 000 €","2 887 €/m²","Appartement à vendre","4 pièces","3 chambres","65,5 m²","Champ de Mars, Toulon (83000)",""
"","281 000 €","4 683 €/m²","Appartement à vendre - neuf","3 pièces","60 m²","","Sainte Musse, Toulon (83100)",""
"C","Bouquet 130 000 €","et 1 348 €/mois","Maison en viager · occupé","5 pièces","3 chambres","90 m²","Claret, Toulon (83200)",""
