prix,surface,prix_m2,nb_pieces,type,quartier,energie,ville
630000.0,156.0,4038.0,7.0,Maison,Notre Dame Des Routes,E,Toulon
129500.0,73.0,1775.0,3.0,Appartement,Centre-Ville,C,Toulon
310000.0,108.0,2870.0,5.0,Appartement,Place D'Armes,C,Toulon
459800.0,100.0,4598.0,3.0,Maison,La Serinette,A,Toulon
140000.0,12.0,4516.0,1.0,Appartement,La Rode,C,Toulon
2845000.0,471.0,,5.0,Maison,Cap Brun,A,Toulon
1144000.0,360.0,3178.0,15.0,Maison,Centre-Ville,C,Toulon
536000.0,66.0,8121.0,3.0,Appartement,Cap Brun,C,Toulon
399000.0,74.0,5392.0,3.0,Appartement,Place D'Armes,C,Toulon
158000.0,65.0,2431.0,3.0,Appartement,Temple,C,Toulon
1200000.0,145.0,8276.0,5.0,Maison,Mourillon-Centre,C,Toulon
187000.0,40.0,4675.0,2.0,Appartement,Notre Dame Des Routes,B,Toulon
290000.0,74.0,3919.0,3.0,Appartement,Centre-Ville,D,Toulon
146000.0,67.0,2179.0,3.0,Appartement,Champ De Mars,E,Toulon
255000.0,87.0,2931.0,5.0,Appartement,Puget-Théâtre,E,Toulon
87000.0,1.0,3480.0,1.0,Appartement,La Roseraie,C,Toulon
200000.0,40.0,5000.0,2.0,Appartement,Centre-Ville,C,Toulon
265000.0,92.0,2880.0,4.0,Appartement,Centre-Ville,D,Toulon
149000.0,70.0,2129.0,4.0,Appartement,Pont-Du-Las,D,Toulon
96000.0,1.0,4174.0,1.0,Appartement,Centre-Ville,C,Toulon
779900.0,121.0,6445.0,5.0,Maison,Centre-Ville,A,Toulon
212000.0,44.0,4818.0,2.0,Appartement,Centre-Ville,C,Toulon
220000.0,90.0,2444.0,3.0,Appartement,Beaulieu-Darboussèdes,D,Toulon
499000.0,120.0,4158.0,5.0,Maison,Trois Quartiers-Siblas,E,Toulon
155000.0,38.0,4079.0,2.0,Appartement,Valbertrand,C,Toulon
270000.0,95.0,2842.0,4.0,Maison,Temple,C,Toulon
219000.0,66.0,3318.0,3.0,Appartement,Saint Jean Du Var,B,Toulon
880000.0,120.0,7333.0,5.0,Maison,Mourillon-Centre,B,Toulon
229000.0,40.0,5725.0,2.0,Appartement,Super-Toulon,D,Toulon
245000.0,72.0,3403.0,3.0,Appartement,La Serinette,D,Toulon
168000.0,62.0,2710.0,2.0,Appartement,Place D'Armes,C,Toulon
149000.0,62.2,2396.0,3.0,Appartement,Saint Jean Du Var,D,Toulon
815000.0,175.0,4657.0,6.0,Maison,Beaulieu-Darboussèdes,D,Toulon
273000.0,71.0,3845.0,4.0,Appartement,Port De Plaisance,D,Toulon
295000.0,70.0,4214.0,3.0,Appartement,Centre-Ville,D,Toulon
259000.0,126.0,2056.0,5.0,Appartement,Super-Toulon,D,Toulon
316000.0,73.0,4329.0,3.0,Appartement,Super-Toulon,D,Toulon
316000.0,74.0,4270.0,3.0,Appartement,Super-Toulon,D,Toulon
369000.0,78.0,4731.0,4.0,Appartement,Centre-Ville,C,Toulon
197950.0,75.0,2639.0,4.0,Appartement,Centre-Ville,F,Toulon
480000.0,815.0,,5.0,Maison,Centre-Ville,D,Toulon
397000.0,98.0,4051.0,5.0,Maison,Aguillon,A,Toulon
300000.0,104.0,2885.0,5.0,Appartement,Super-Toulon,B,Toulon
180000.0,37.0,4865.0,2.0,Appartement,Mourillon-Sud,F,Toulon
189000.0,70.0,2700.0,4.0,Appartement,Centre-Ville,C,Toulon
348500.0,84.9,4104.0,5.0,Appartement,Centre-Ville,B,Toulon
184000.0,1.0,8000.0,1.0,Appartement,Centre-Ville,D,Toulon
229000.0,39.7,5771.0,2.0,Appartement,Centre-Ville,D,Toulon
449000.0,118.0,3805.0,5.0,Appartement,Centre-Ville,D,Toulon
199000.0,40.0,4980.0,2.0,Appartement,Centre-Ville,C,Toulon
129000.0,29.2,4418.0,2.0,Appartement,Centre-Ville,C,Toulon
510000.0,138.0,3696.0,4.0,Maison,Centre-Ville,D,Toulon
170000.0,63.0,2698.0,4.0,Appartement,Centre-Ville,C,Toulon
155000.0,47.0,3298.0,2.0,Appartement,Centre-Ville,C,Toulon
154900.0,67.0,2312.0,4.0,Appartement,Centre-Ville,E,Toulon
86000.0,3.0,2529.0,1.0,Appartement,Saint Roch,E,Toulon
203000.0,76.0,2671.0,4.0,Appartement,Saint Roch,C,Toulon
229500.0,67.0,3425.0,4.0,Appartement,Claret,E,Toulon
1250000.0,180.0,6944.0,5.0,Maison,Centre-Ville,A,Toulon
332000.0,97.4,3408.0,4.0,Maison,La Roseraie,E,Toulon
425000.0,81.0,5247.0,4.0,Maison,Valbertrand,A,Toulon
267750.0,83.6,3201.0,4.0,Appartement,Brunet,C,Toulon
138000.0,51.0,2706.0,2.0,Appartement,Centre-Ville,C,Toulon
190000.0,71.0,2676.0,3.0,Appartement,Centre-Ville,D,Toulon
169600.0,60.0,2827.0,3.0,Appartement,Saint Jean Du Var,D,Toulon
218000.0,2.0,,4.0,Appartement,Super-Toulon,B,Toulon
180000.0,84.0,2143.0,3.0,Appartement,Centre-Ville,D,Toulon
339000.0,105.0,3229.0,5.0,Appartement,Centre-Ville,C,Toulon
230000.0,75.0,3067.0,4.0,Appartement,Centre-Ville,C,Toulon
900000.0,223.0,4036.0,9.0,Maison,La Serinette,C,Toulon
119000.0,41.0,2902.0,2.0,Appartement,Le Port,D,Toulon
455000.0,85.0,5353.0,4.0,Appartement,Centre-Ville,C,Toulon
149000.0,67.0,2224.0,4.0,Appartement,Centre-Ville,F,Toulon
589000.0,130.4,4517.0,5.0,Maison,Centre-Ville,C,Toulon
525000.0,106.0,4953.0,6.0,Maison,Notre Dame Des Routes,D,Toulon
300000.0,50.0,6000.0,2.0,Maison,Trois Quartiers-Siblas,C,Toulon
390000.0,90.0,4333.0,4.0,Maison,Les Routes,C,Toulon
410000.0,78.0,5256.0,4.0,Maison,Hubac-Nord-Faron,D,Toulon
239000.0,60.0,3983.0,3.0,Appartement,Cap Brun,C,Toulon
144000.0,61.0,2361.0,3.0,Appartement,Pont-Du-Las,E,Toulon
860000.0,190.0,4526.0,6.0,Maison,Le Faron-Fort-Rouge,C,Toulon
590000.0,166.0,3554.0,5.0,Maison,Centre-Ville,E,Toulon
277000.0,92.0,3011.0,4.0,Appartement,La Rode,C,Toulon
200000.0,61.2,3269.0,3.0,Appartement,Saint Roch,A,Toulon
315000.0,56.3,5592.0,3.0,Appartement,Mourillon-Sud,D,Toulon
232000.0,47.0,4936.0,2.0,Appartement,Champ De Mars,D,Toulon
480000.0,171.0,2807.0,6.0,Maison,Saint Jean Du Var,D,Toulon
299000.0,93.0,3215.0,4.0,Appartement,Centre-Ville,C,Toulon
495000.0,92.8,5333.0,4.0,Maison,Trois Quartiers-Siblas,C,Toulon
144000.0,68.0,2118.0,4.0,Appartement,Centre-Ville,D,Toulon
149000.0,66.3,2246.0,4.0,Appartement,Champ De Mars,D,Toulon
213000.0,75.0,2840.0,3.0,Appartement,Centre-Ville,D,Toulon
478800.0,113.0,4237.0,5.0,Maison,Notre Dame Des Routes,E,Toulon
172000.0,75.0,2293.0,3.0,Appartement,Centre-Ville,E,Toulon
109000.0,46.7,2335.0,3.0,Appartement,Centre-Ville,E,Toulon
192000.0,63.0,3048.0,3.0,Appartement,Centre-Ville,C,Toulon
147000.0,39.4,3736.0,2.0,Appartement,Centre-Ville,F,Toulon
460000.0,63.0,7302.0,3.0,Appartement,Cap Brun,A,Toulon
121000.0,5.0,5762.0,1.0,Appartement,Champ De Mars,E,Toulon
305000.0,87.0,3506.0,4.0,Appartement,Centre-Ville,C,Toulon
211000.0,77.0,2740.0,3.0,Appartement,Port De Plaisance,C,Toulon
345000.0,75.0,4600.0,4.0,Appartement,Centre-Ville,C,Toulon
275000.0,62.0,4435.0,3.0,Appartement,Mourillon-Centre,C,Toulon
325000.0,85.0,3824.0,4.0,Appartement,Super-Toulon,C,Toulon
1200000.0,140.0,8571.0,5.0,Maison,Centre-Ville,C,Toulon
316000.0,74.0,4270.0,3.0,Appartement,Super-Toulon,E,Toulon
549000.0,126.0,4357.0,5.0,Maison,Trois Quartiers-Siblas,B,Toulon
830000.0,244.0,3402.0,9.0,Maison,Centre-Ville,D,Toulon
320000.0,119.0,2689.0,5.0,Appartement,Centre-Ville,E,Toulon
159000.0,57.4,2769.0,2.0,Appartement,Centre-Ville,D,Toulon
129000.0,38.0,3395.0,2.0,Appartement,Centre-Ville,C,Toulon
252000.0,70.0,3600.0,4.0,Appartement,Centre-Ville,E,Toulon
299900.0,103.0,2912.0,5.0,Appartement,Centre-Ville,D,Toulon
185000.0,65.0,2846.0,3.0,Appartement,Place D'Armes,C,Toulon
885000.0,140.0,6321.0,6.0,Maison,Cap Brun,C,Toulon
160000.0,74.0,2162.0,3.0,Appartement,Champ De Mars,C,Toulon
459000.0,3.0,16393.0,1.0,Appartement,Besagne,C,Toulon
95000.0,41.0,2317.0,2.0,Appartement,La Roseraie,D,Toulon
269000.0,96.7,2781.0,3.0,Appartement,Le Port,D,Toulon
129000.0,50.0,2580.0,2.0,Maison,La Serinette,D,Toulon
645000.0,155.7,4144.0,7.0,Maison,La Garde,C,Toulon
320000.0,80.0,4000.0,4.0,Appartement,Centre-Ville,D,Toulon
536000.0,67.0,8000.0,3.0,Appartement,Cap Brun,B,Toulon
899000.0,119.0,7555.0,4.0,Appartement,Mourillon-Sud,C,Toulon
125000.0,42.5,2941.0,2.0,Appartement,Saint Jean Du Var,E,Toulon
179000.0,75.0,2387.0,3.0,Appartement,Saint Jean Du Var,D,Toulon
